Rock Name,Rock Types,Chemical Formula,Rock Color,Vitreous,Crystal Forms,Cleavage,Representative Photo,What this rock can tell us?
Snowflake Obsidian,Igneous rock,SiO2,Black,Vitreous,Amorphous,-,https://www.gemdat.org/gallery.php?min=8520,"This rock is a natural volcanic glass containing white 'snowflake' crystal patterns of the cristobalite mineral, resulting from partial crystallization of the glass. Snowflake Obsidian is a variety of Obsidian with a black body color and numerous small spreading cristobalite inclusions."
Thunder Egg,Igneous rock,"SiO2, CaCO3, nH2O","Black, Brown",,-,-,https://www.mindat.org/gm/27030,"Thundereggs are found in rhyolite lava flows. They form in lava from the action of water percolating through porous rock that carries silica in solution. The deposits covered and filled the cavity, first with a darker matrix material, then with an agate or chalcedony inner core. The various colors come from the differences in the minerals found in the soil and rock through which the water passes."
Mahogany Obsidian,Igneous rock,SiO2,"Black, Brown, Red. ",,-,-,,-
Cristobalite,Igneous rock,SiO2,"Colorless, White, Blue,  Brown, Grey, Yellow","Vitreous, Sub-Vitreous",Tetragonal,-,https://www.mindat.org/gm/1155,"Cristobalite is a polymorph of silica that is only thermodynamically stable at temperatures above 1470°C at atmospheric pressures, up to its melting point of 1705°C. It usually persists metastable in silica-rich volcanic and sedimentary environments or even forms at much lower temperatures. May form in cavities, possibly as vapor-deposited crystals or spheres in obsidian or other silicic volcanics."
Quartz,Igneous rock,SiO2,"Colorless, Purple, Red, Black, Yellow, Brown, Green, Blue, Orange,",Vitreous,Trigonal,"Poor, Indistinct",https://www.mindat.org/gm/3337,"Quartz is a hard, crystalline mineral composed of silica (silicon dioxide). Quartz is the second most abundant mineral in the Earth's continental crust after feldspar. In igneous rocks, quartz forms as the magma cools. Like water turning into ice, silicon dioxide crystallizes as it cools. Slow cooling usually allows the crystals to grow further."
Obsidian,Igneous rock,SiO2,"Black, Bluish, Mahogany, Golden, Peacock",Vitreous,Conchoidal,-,https://www.mindat.org/gm/8519,"Obsidian forms when felsic lava extruded from a volcano cools rapidly with minimal crystal growth. It is often found on the edges of rhyolitic lava flows known as obsidian flows. These streams have a high silica content which gives them a high viscosity. Obsidian is hard, brittle and misshapen; therefore it breaks with sharp edges."
Pumice,Igneous rock,"SiO2, Al2O3","White,Gray, Light-tan",,-,-,https://www.mindat.org/gm/48576,"Pumice is a type of extrusive igneous rock formed by the discharge of lava with a very high water and gas content from a volcano. The lava becomes foamy as gas bubbles escape. When this lava cools and hardens, the result is a very light rock material filled with tiny gas bubbles. It is usually light in color, indicating an igneous rock with a high silica content and low iron and magnesium content, often classified as rhyolite."
Granite,Igneous rock,"SiO2, Al2O3","Pink, White, Gray and Black",,-,-,https://www.mindat.org/gm/48141,It crystallizes from silica-rich magmas located kilometers deep in the Earth's crust.
Orbiculite,Igneous rock,"Granite, Diorite",-,,-,-,https://www.mindat.org/gm/53500,"Orbicles are concentric, layered, spherical structures composed mostly of feldspars and mafic minerals, formed by rapid nucleation in a magma. In some places they have a core of feldspar or hornblende crystal with excess growths of finer material. Elsewhere they can be almost monomineral (feldspar)."
Rhyolite,Igneous rock,"SiO2, Al2O3",-,,-,-,https://www.mindat.org/gm/48451,A group of extrusive igneous rocks that typically exhibit porphyric and diffusely flow texture with quartz and alkali feldspar phenocrysts in a glassy to cryptocrystalline paste; also any rock in that group; extrusion equivalent of granite. Rhyolite transforms into rhyodacite with decreasing alkali feldspar content and trachyte with decrease in quartz.
